Patient,Gender,Contract,Tenure,Charges
Patient #75,Male,One year,37 mo,$35.8
Patient #76,Female,Two year,68 mo,$20.8
Patient #77,Female,Two year,14 mo,$113.9
Patient #78,Male,One year,15 mo,$109.0
Patient #79,Male,One year,37 mo,$80.5
Patient #80,Female,Month-to-month,34 mo,$70.5
Patient #81,Female,Month-to-month,12 mo,$83.4
Patient #82,Female,Month-to-month,1 mo,$53.4
Patient #83,Male,Two year,34 mo,$36.2
Patient #84,Female,Two year,55 mo,$76.1
Patient #85,Male,Month-to-month,20 mo,$74.6
Patient #86,Female,Two year,71 mo,$34.8
Patient #87,Male,Month-to-month,40 mo,$56.5
Patient #88,Male,One year,27 mo,$88.2
Patient #89,Male,One year,72 mo,$108.4
Patient #90,Female,Two year,20 mo,$112.6
Patient #91,Male,Month-to-month,23 mo,$108.1
Patient #92,Male,Month-to-month,43 mo,$98.2
Patient #93,Female,Two year,32 mo,$46.7
Patient #94,Male,One year,5 mo,$105.9
Patient #95,Male,Month-to-month,59 mo,$55.0
Patient #96,Male,Month-to-month,4 mo,$86.0
Patient #97,Female,One year,36 mo,$106.4
Patient #98,Female,One year,66 mo,$60.0
Patient #99,Female,Month-to-month,15 mo,$107.7
Patient #100,Female,Month-to-month,34 mo,$23.8
Patient #101,Female,One year,41 mo,$63.6
Patient #102,Male,One year,25 mo,$45.5
Patient #103,Female,Month-to-month,67 mo,$112.6
Patient #104,Male,One year,56 mo,$27.0
Patient #105,Female,Two year,41 mo,$86.3
Patient #106,Male,Two year,39 mo,$70.7
Patient #107,Female,One year,52 mo,$89.7
Patient #108,Male,Month-to-month,54 mo,$86.5
Patient #109,Female,Two year,23 mo,$81.6
Patient #110,Female,One year,71 mo,$103.4
Patient #111,Female,One year,27 mo,$63.0
Patient #112,Female,One year,57 mo,$64.2
Patient #113,Male,Two year,61 mo,$99.4
Patient #114,Male,Two year,11 mo,$48.4
Patient #115,Female,Month-to-month,31 mo,$87.3
Patient #116,Male,Month-to-month,19 mo,$22.4
Patient #117,Male,One year,10 mo,$65.5
Patient #118,Male,Two year,50 mo,$69.4
Patient #119,Male,Month-to-month,1 mo,$109.3
Patient #120,Male,One year,29 mo,$37.6
Patient #121,Female,Month-to-month,72 mo,$44.9
Patient #122,Male,One year,18 mo,$100.1
Patient #123,Female,One year,65 mo,$62.7
Patient #124,Female,Month-to-month,61 mo,$65.0
Patient #125,Male,Two year,36 mo,$96.6
Patient #126,Female,Two year,31 mo,$47.5
Patient #127,Male,Two year,37 mo,$43.4
Patient #128,Female,One year,70 mo,$28.1
Patient #129,Male,Month-to-month,50 mo,$89.4
Patient #130,Male,Month-to-month,54 mo,$60.8
Patient #131,Female,One year,8 mo,$40.7
Patient #132,Female,One year,3 mo,$105.7
Patient #133,Female,One year,1 mo,$114.3
Patient #134,Female,One year,54 mo,$73.8
Patient #135,Male,One year,29 mo,$47.3
Patient #136,Female,Month-to-month,50 mo,$53.6
Patient #137,Female,Two year,22 mo,$104.1
Patient #138,Male,Two year,69 mo,$22.7
Patient #139,Female,Two year,4 mo,$28.4
Patient #140,Female,Month-to-month,60 mo,$38.2
Patient #141,Female,One year,42 mo,$41.2
Patient #142,Female,One year,49 mo,$47.8
Patient #143,Female,One year,11 mo,$67.0
Patient #144,Male,One year,29 mo,$85.0
Patient #145,Male,Month-to-month,32 mo,$39.9
Patient #146,Male,Two year,20 mo,$43.9
Patient #147,Female,Two year,15 mo,$76.4
Patient #148,Male,One year,33 mo,$96.7
Patient #149,Male,Two year,15 mo,$97.8
Patient #150,Male,One year,14 mo,$77.9
Patient #151,Female,Two year,49 mo,$59.7
Patient #152,Male,Month-to-month,32 mo,$30.2
Patient #153,Female,Two year,16 mo,$99.6
Patient #154,Male,One year,69 mo,$62.8
Patient #155,Female,Month-to-month,65 mo,$84.8
Patient #156,Male,One year,63 mo,$30.6
Patient #157,Female,Two year,59 mo,$90.7
Patient #158,Female,Month-to-month,67 mo,$116.5
Patient #159,Female,Two year,69 mo,$97.5
Patient #160,Female,One year,35 mo,$52.2
Patient #161,Male,Month-to-month,36 mo,$108.2
Patient #162,Male,One year,49 mo,$53.6
Patient #163,Female,One year,24 mo,$68.8
Patient #164,Female,One year,44 mo,$48.0
Patient #165,Female,Two year,2 mo,$71.7
Patient #166,Male,Month-to-month,31 mo,$92.0
Patient #167,Female,Two year,31 mo,$89.1
Patient #168,Female,One year,3 mo,$29.3
Patient #169,Male,One year,32 mo,$50.6
Patient #170,Female,One year,71 mo,$73.1
Patient #171,Female,Two year,71 mo,$53.1
Patient #172,Female,One year,40 mo,$45.1
Patient #173,Male,Two year,25 mo,$51.6
Patient #174,Male,Month-to-month,28 mo,$93.9
Patient #175,Female,Two year,68 mo,$79.7
Patient #176,Male,Month-to-month,38 mo,$42.7
Patient #177,Male,One year,2 mo,$90.8
Patient #178,Male,One year,6 mo,$117.4
Patient #179,Female,Two year,17 mo,$83.8
Patient #180,Female,Month-to-month,2 mo,$77.4
Patient #181,Female,One year,57 mo,$54.1
Patient #182,Male,One year,62 mo,$31.4
Patient #183,Male,One year,63 mo,$27.4
Patient #184,Male,Month-to-month,20 mo,$101.1
Patient #185,Female,Month-to-month,32 mo,$31.8
Patient #186,Female,Two year,29 mo,$97.6
Patient #187,Female,One year,57 mo,$49.7
Patient #188,Female,One year,8 mo,$81.0
Patient #189,Male,Month-to-month,28 mo,$46.5
Patient #190,Male,Month-to-month,31 mo,$37.4
Patient #191,Male,Month-to-month,1 mo,$60.9
Patient #192,Female,One year,5 mo,$43.1
Patient #193,Female,Two year,59 mo,$27.1
Patient #194,Male,One year,26 mo,$62.5
Patient #195,Male,Two year,20 mo,$110.8
Patient #196,Male,Month-to-month,8 mo,$36.6
Patient #197,Female,Two year,37 mo,$63.9
Patient #198,Female,Two year,39 mo,$90.0
Patient #199,Female,Two year,70 mo,$69.4
Patient #200,Male,Two year,6 mo,$108.9
Patient #201,Female,Two year,33 mo,$22.6
Patient #202,Male,Two year,3 mo,$120.0
Patient #203,Female,Two year,6 mo,$96.3
Patient #204,Male,One year,67 mo,$85.2
Patient #205,Female,Month-to-month,56 mo,$83.5
Patient #206,Female,Month-to-month,61 mo,$54.8
Patient #207,Female,One year,14 mo,$105.8
Patient #208,Female,One year,64 mo,$48.8
Patient #209,Female,Two year,5 mo,$65.5
Patient #210,Female,One year,42 mo,$31.6
Patient #211,Female,Two year,1 mo,$85.8
Patient #212,Female,One year,7 mo,$38.8
Patient #213,Female,Two year,64 mo,$82.5
Patient #214,Male,Month-to-month,35 mo,$74.9
Patient #215,Female,One year,63 mo,$32.1
Patient #216,Male,Two year,21 mo,$51.1
Patient #217,Male,Two year,53 mo,$29.3
Patient #218,Male,One year,16 mo,$84.8
Patient #219,Male,One year,38 mo,$70.9
Patient #220,Female,One year,62 mo,$118.0
Patient #221,Male,One year,71 mo,$34.5
Patient #222,Male,Two year,66 mo,$94.6
Patient #223,Male,Month-to-month,36 mo,$97.3
Patient #224,Female,One year,65 mo,$46.7
Patient #225,Male,One year,39 mo,$103.7
Patient #226,Female,Month-to-month,58 mo,$73.9
Patient #227,Female,One year,71 mo,$96.3
Patient #228,Female,One year,42 mo,$107.0
Patient #229,Male,Two year,50 mo,$43.4
Patient #230,Female,Month-to-month,41 mo,$94.5
Patient #231,Female,One year,20 mo,$69.5
Patient #232,Male,Month-to-month,65 mo,$116.5
Patient #233,Female,Month-to-month,57 mo,$30.0
Patient #234,Female,Month-to-month,19 mo,$61.0
Patient #235,Male,Month-to-month,61 mo,$98.2
Patient #236,Female,One year,51 mo,$85.0
Patient #237,Female,Two year,69 mo,$58.0
Patient #238,Female,Two year,63 mo,$107.2
Patient #239,Male,Two year,9 mo,$43.5
Patient #240,Female,Month-to-month,12 mo,$63.4
Patient #241,Male,Two year,13 mo,$64.4
Patient #242,Female,Month-to-month,6 mo,$52.4
Patient #243,Male,One year,46 mo,$57.5
Patient #244,Male,Month-to-month,68 mo,$61.2
Patient #245,Male,Month-to-month,23 mo,$27.9
Patient #246,Female,Two year,31 mo,$69.8
Patient #247,Male,Month-to-month,60 mo,$83.8
Patient #248,Female,One year,2 mo,$109.9
Patient #249,Female,One year,70 mo,$35.8
Patient #250,Female,One year,39 mo,$83.9
Patient #251,Female,Two year,33 mo,$65.7
Patient #252,Female,Month-to-month,50 mo,$105.3
Patient #253,Male,Month-to-month,49 mo,$77.2
Patient #254,Female,Two year,38 mo,$22.2
Patient #255,Female,One year,2 mo,$76.6
Patient #256,Male,Two year,64 mo,$103.3
Patient #257,Female,Month-to-month,46 mo,$41.9
Patient #258,Male,Two year,33 mo,$87.8
Patient #259,Male,Two year,13 mo,$110.3
Patient #260,Male,One year,57 mo,$23.3
Patient #261,Female,Two year,17 mo,$29.0
Patient #262,Female,One year,54 mo,$37.6
Patient #263,Male,Two year,47 mo,$73.1
Patient #264,Female,Month-to-month,33 mo,$111.4
Patient #265,Female,One year,44 mo,$100.4
Patient #266,Female,Month-to-month,19 mo,$95.4
Patient #267,Male,Two year,51 mo,$116.7
Patient #268,Female,Month-to-month,51 mo,$21.4
Patient #269,Male,One year,48 mo,$87.3
Patient #270,Female,Two year,49 mo,$102.2
Patient #271,Female,Month-to-month,30 mo,$67.1
Patient #272,Female,Two year,29 mo,$84.8
Patient #273,Female,Two year,39 mo,$84.9
Patient #274,Male,Month-to-month,6 mo,$114.6
Patient #275,Female,One year,15 mo,$29.7
Patient #276,Male,One year,59 mo,$57.1
Patient #277,Female,Two year,20 mo,$108.5
Patient #278,Male,One year,53 mo,$113.9
Patient #279,Female,Month-to-month,48 mo,$41.7
Patient #280,Female,Month-to-month,47 mo,$29.9
Patient #281,Female,Two year,46 mo,$26.1
Patient #282,Female,Month-to-month,16 mo,$114.9
Patient #283,Female,Month-to-month,28 mo,$84.2
Patient #284,Male,Month-to-month,43 mo,$44.4
Patient #285,Male,Two year,27 mo,$26.9
Patient #286,Male,Two year,28 mo,$101.3
Patient #287,Male,One year,19 mo,$98.9
Patient #288,Male,One year,19 mo,$118.8
Patient #289,Female,Month-to-month,15 mo,$86.1
Patient #290,Male,Month-to-month,2 mo,$55.8
Patient #291,Male,Two year,42 mo,$21.6
Patient #292,Female,Month-to-month,17 mo,$94.2
Patient #293,Male,Two year,9 mo,$67.6
Patient #294,Female,Two year,14 mo,$65.2
Patient #295,Male,Two year,6 mo,$92.7
Patient #296,Female,One year,4 mo,$26.1
Patient #297,Female,One year,55 mo,$88.6
Patient #298,Female,Two year,57 mo,$27.3
Patient #299,Male,One year,19 mo,$26.6
Patient #300,Female,Two year,71 mo,$91.2
Patient #301,Female,Two year,68 mo,$49.5
Patient #302,Female,Month-to-month,15 mo,$105.3
Patient #303,Male,One year,58 mo,$108.8
Patient #304,Female,One year,59 mo,$59.9
Patient #305,Male,One year,55 mo,$51.3
Patient #306,Female,One year,20 mo,$88.7
Patient #307,Female,Month-to-month,12 mo,$103.2
Patient #308,Male,One year,13 mo,$94.5
Patient #309,Female,Month-to-month,72 mo,$26.0
Patient #310,Female,Two year,16 mo,$61.1
Patient #311,Female,Two year,7 mo,$116.8
Patient #312,Female,One year,14 mo,$77.8
Patient #313,Male,Month-to-month,62 mo,$42.4
Patient #314,Male,One year,72 mo,$56.8
Patient #315,Female,Two year,29 mo,$100.7
Patient #316,Male,Two year,35 mo,$22.9
Patient #317,Female,Two year,40 mo,$112.2
Patient #318,Female,Month-to-month,24 mo,$107.0
Patient #319,Female,Month-to-month,19 mo,$94.1
Patient #320,Male,Month-to-month,68 mo,$41.5
Patient #321,Female,One year,44 mo,$35.7
Patient #322,Female,Two year,42 mo,$97.7
Patient #323,Male,Month-to-month,20 mo,$35.7
Patient #324,Male,Two year,11 mo,$47.2
Patient #325,Female,One year,57 mo,$61.4
Patient #326,Male,Two year,15 mo,$54.5
Patient #327,Male,One year,63 mo,$72.7
Patient #328,Female,Month-to-month,29 mo,$59.5
Patient #329,Male,Month-to-month,27 mo,$50.1
Patient #330,Male,Month-to-month,33 mo,$48.9
Patient #331,Male,Month-to-month,64 mo,$94.7
Patient #332,Male,Month-to-month,49 mo,$73.3
Patient #333,Male,Two year,72 mo,$103.3
Patient #334,Female,Month-to-month,51 mo,$106.2
Patient #335,Male,One year,3 mo,$66.0
Patient #336,Male,One year,55 mo,$77.3
Patient #337,Female,One year,15 mo,$60.5
Patient #338,Female,Month-to-month,59 mo,$103.2
Patient #339,Female,Month-to-month,56 mo,$104.4
Patient #340,Male,One year,52 mo,$72.4
Patient #341,Female,One year,44 mo,$42.2
Patient #342,Male,Month-to-month,66 mo,$83.3
Patient #343,Male,One year,45 mo,$92.7
Patient #344,Male,Month-to-month,14 mo,$34.6
Patient #345,Male,Month-to-month,20 mo,$96.0
Patient #346,Male,Month-to-month,64 mo,$66.4
Patient #347,Female,Two year,42 mo,$106.4
Patient #348,Female,Month-to-month,57 mo,$26.8
Patient #349,Female,Two year,39 mo,$99.6
Patient #350,Male,One year,65 mo,$27.4
Patient #351,Female,One year,5 mo,$25.7
Patient #352,Female,Month-to-month,12 mo,$81.5
Patient #353,Female,One year,71 mo,$115.4
Patient #354,Male,One year,25 mo,$52.2
Patient #355,Female,Two year,20 mo,$115.8
Patient #356,Female,Month-to-month,44 mo,$118.2
Patient #357,Male,Two year,23 mo,$23.9
Patient #358,Female,One year,68 mo,$72.3
Patient #359,Male,One year,48 mo,$111.8
Patient #360,Female,One year,44 mo,$87.9
Patient #361,Male,Two year,43 mo,$26.6
Patient #362,Male,Two year,50 mo,$48.4
Patient #363,Male,One year,11 mo,$78.3
Patient #364,Male,One year,40 mo,$116.8
Patient #365,Female,Month-to-month,11 mo,$51.0
Patient #366,Female,Two year,43 mo,$101.3
Patient #367,Male,Two year,55 mo,$70.8
Patient #368,Male,One year,40 mo,$38.0
Patient #369,Male,One year,63 mo,$39.2
Patient #370,Male,Month-to-month,10 mo,$49.6
Patient #371,Male,Two year,70 mo,$103.5
Patient #372,Male,Two year,44 mo,$107.6
Patient #373,Male,Two year,49 mo,$35.4
Patient #374,Male,Two year,22 mo,$92.1
Patient #375,Male,One year,47 mo,$87.6
Patient #376,Male,One year,37 mo,$95.2
Patient #377,Female,Month-to-month,69 mo,$43.9
Patient #378,Female,Month-to-month,48 mo,$87.8
Patient #379,Female,One year,37 mo,$97.8
Patient #380,Female,Month-to-month,26 mo,$100.1
Patient #381,Male,One year,7 mo,$84.1
Patient #382,Female,Two year,14 mo,$91.1
Patient #383,Male,One year,11 mo,$96.3
Patient #384,Female,One year,66 mo,$34.7
Patient #385,Female,Month-to-month,29 mo,$101.7
Patient #386,Female,Month-to-month,54 mo,$25.3
Patient #387,Female,Month-to-month,50 mo,$119.5
Patient #388,Female,Month-to-month,4 mo,$51.9
Patient #389,Male,Two year,43 mo,$99.1
Patient #390,Male,Month-to-month,37 mo,$111.7
Patient #391,Female,Two year,18 mo,$95.9
Patient #392,Female,One year,1 mo,$110.6
Patient #393,Male,One year,28 mo,$103.5
Patient #394,Female,Month-to-month,37 mo,$43.8
Patient #395,Male,Month-to-month,31 mo,$62.0
Patient #396,Female,Month-to-month,15 mo,$103.7
Patient #397,Female,Two year,69 mo,$21.6
Patient #398,Male,Two year,19 mo,$49.1
Patient #399,Male,Two year,46 mo,$44.1
Patient #400,Female,Month-to-month,11 mo,$72.3
Patient #401,Female,Month-to-month,68 mo,$74.4
Patient #402,Male,One year,61 mo,$24.4
Patient #403,Female,One year,33 mo,$94.7
Patient #404,Female,Month-to-month,45 mo,$44.1
Patient #405,Male,Two year,43 mo,$33.3
Patient #406,Female,Two year,44 mo,$101.4
Patient #407,Male,Two year,60 mo,$118.1
Patient #408,Female,Two year,24 mo,$101.1
Patient #409,Male,Two year,59 mo,$23.7
Patient #410,Male,Month-to-month,26 mo,$108.6
Patient #411,Female,One year,66 mo,$59.8
Patient #412,Female,One year,5 mo,$95.3
Patient #413,Male,One year,46 mo,$106.2
Patient #414,Male,Two year,43 mo,$47.3
Patient #415,Female,One year,52 mo,$94.3
Patient #416,Female,One year,24 mo,$69.6
Patient #417,Female,One year,67 mo,$46.7
Patient #418,Male,Two year,55 mo,$27.9
Patient #419,Male,Two year,38 mo,$52.1
Patient #420,Male,One year,38 mo,$50.6
Patient #421,Female,Month-to-month,57 mo,$55.2
Patient #422,Male,Two year,46 mo,$81.5
Patient #423,Female,One year,8 mo,$27.5
Patient #424,Female,One year,66 mo,$100.1
Patient #425,Male,Month-to-month,19 mo,$104.9
Patient #426,Female,Month-to-month,17 mo,$26.7
Patient #427,Female,One year,50 mo,$114.9
Patient #428,Male,Two year,20 mo,$87.9
Patient #429,Female,One year,57 mo,$96.3
Patient #430,Male,Two year,47 mo,$59.8
Patient #431,Female,Month-to-month,15 mo,$22.6
Patient #432,Male,One year,67 mo,$58.7
Patient #433,Male,One year,34 mo,$90.4
Patient #434,Male,Two year,37 mo,$89.4
Patient #435,Female,Month-to-month,16 mo,$33.6
Patient #436,Male,One year,23 mo,$109.9
Patient #437,Female,Month-to-month,41 mo,$86.8
Patient #438,Male,Two year,70 mo,$49.0
Patient #439,Female,Month-to-month,23 mo,$99.4
Patient #440,Male,Month-to-month,26 mo,$99.2
Patient #441,Male,One year,4 mo,$56.1
Patient #442,Female,One year,71 mo,$33.0
Patient #443,Male,Month-to-month,40 mo,$59.8
Patient #444,Female,Two year,53 mo,$96.9
Patient #445,Male,Month-to-month,41 mo,$84.2
Patient #446,Female,One year,67 mo,$54.5
Patient #447,Male,Month-to-month,56 mo,$70.3
Patient #448,Male,Month-to-month,67 mo,$35.3
Patient #449,Male,Month-to-month,42 mo,$113.5
Patient #450,Male,One year,67 mo,$109.5
Patient #451,Male,One year,26 mo,$83.5
Patient #452,Female,Month-to-month,39 mo,$81.4
Patient #453,Male,Two year,22 mo,$79.2
Patient #454,Male,Month-to-month,44 mo,$104.3
Patient #455,Male,Month-to-month,11 mo,$24.5
Patient #456,Female,Two year,27 mo,$96.7
Patient #457,Female,Two year,4 mo,$69.8
Patient #458,Female,Two year,39 mo,$68.3
Patient #459,Female,One year,59 mo,$27.3
Patient #460,Male,Month-to-month,57 mo,$61.6
Patient #461,Female,Month-to-month,44 mo,$80.7
Patient #462,Female,Two year,41 mo,$93.4
Patient #463,Female,One year,17 mo,$96.1
Patient #464,Male,One year,31 mo,$66.6
Patient #465,Female,One year,32 mo,$34.1
Patient #466,Male,One year,50 mo,$106.4
Patient #467,Female,Month-to-month,21 mo,$101.3
Patient #468,Female,Month-to-month,21 mo,$69.8
Patient #469,Female,One year,40 mo,$69.7
Patient #470,Male,One year,65 mo,$65.7
Patient #471,Male,Month-to-month,46 mo,$24.9
Patient #472,Female,One year,61 mo,$48.6
Patient #473,Male,Month-to-month,56 mo,$33.4
Patient #474,Female,Two year,47 mo,$96.4
Patient #475,Female,Month-to-month,52 mo,$25.1
Patient #476,Male,One year,71 mo,$48.9
Patient #477,Female,Two year,58 mo,$96.4
Patient #478,Female,Two year,16 mo,$32.9
Patient #479,Male,One year,48 mo,$99.5
Patient #480,Female,Two year,47 mo,$95.5
Patient #481,Male,Two year,66 mo,$60.1
Patient #482,Male,Month-to-month,5 mo,$33.7
Patient #483,Female,One year,67 mo,$65.7
Patient #484,Male,One year,41 mo,$36.3
Patient #485,Female,Two year,44 mo,$70.7
Patient #486,Female,Two year,39 mo,$67.5
Patient #487,Male,One year,43 mo,$87.4
Patient #488,Female,Two year,40 mo,$99.7
Patient #489,Male,Two year,61 mo,$46.6
Patient #490,Male,Two year,7 mo,$78.4
Patient #491,Male,Two year,49 mo,$34.8
Patient #492,Male,Month-to-month,15 mo,$39.1
Patient #493,Female,One year,54 mo,$35.1
Patient #494,Male,One year,65 mo,$97.5
Patient #495,Female,Two year,8 mo,$90.6
Patient #496,Male,Two year,42 mo,$119.8
Patient #497,Female,Two year,49 mo,$51.4
Patient #498,Male,One year,69 mo,$54.2
Patient #499,Female,Two year,34 mo,$81.0
Patient #500,Male,Month-to-month,36 mo,$75.8
Patient #501,Male,One year,37 mo,$90.5
Patient #502,Female,One year,62 mo,$54.9
Patient #503,Female,One year,16 mo,$77.3
Patient #504,Female,One year,45 mo,$115.5
Patient #505,Male,One year,6 mo,$48.8
Patient #506,Male,One year,57 mo,$85.6
Patient #507,Female,Month-to-month,26 mo,$102.8
Patient #508,Female,Two year,35 mo,$33.7
Patient #509,Male,Month-to-month,7 mo,$87.0
Patient #510,Male,Two year,30 mo,$25.2
Patient #511,Female,One year,61 mo,$30.1
Patient #512,Male,Month-to-month,71 mo,$117.8
Patient #513,Male,One year,61 mo,$67.7
Patient #514,Male,One year,42 mo,$48.5
Patient #515,Male,Month-to-month,30 mo,$73.5
Patient #516,Male,Month-to-month,54 mo,$108.2
Patient #517,Male,Month-to-month,51 mo,$98.8
Patient #518,Male,Two year,38 mo,$107.7
Patient #519,Male,One year,14 mo,$112.8
Patient #520,Female,One year,59 mo,$118.9
Patient #521,Female,Month-to-month,65 mo,$66.8
Patient #522,Male,Month-to-month,43 mo,$36.2
Patient #523,Female,Two year,33 mo,$91.9
Patient #524,Male,Two year,44 mo,$99.1
Patient #525,Male,Month-to-month,52 mo,$102.7
Patient #526,Female,Month-to-month,52 mo,$86.9
Patient #527,Male,Month-to-month,62 mo,$52.4
Patient #528,Male,Month-to-month,34 mo,$58.4
Patient #529,Female,One year,43 mo,$50.2
Patient #530,Male,One year,47 mo,$89.3
Patient #531,Male,Two year,16 mo,$66.5
Patient #532,Male,One year,65 mo,$112.3
Patient #533,Female,Two year,16 mo,$83.9
Patient #534,Female,One year,29 mo,$41.9
Patient #535,Male,One year,20 mo,$65.5
Patient #536,Female,One year,71 mo,$111.3
Patient #537,Male,Month-to-month,11 mo,$72.6
Patient #538,Female,Month-to-month,15 mo,$26.2
Patient #539,Male,Two year,69 mo,$35.0
Patient #540,Female,Two year,57 mo,$31.6
Patient #541,Male,Two year,63 mo,$29.1
Patient #542,Female,Month-to-month,59 mo,$33.2
Patient #543,Female,One year,8 mo,$75.9
Patient #544,Female,Two year,3 mo,$59.6
Patient #545,Male,Two year,28 mo,$77.8
Patient #546,Male,One year,45 mo,$90.0
Patient #547,Male,Month-to-month,61 mo,$23.2
Patient #548,Female,Month-to-month,18 mo,$96.6
Patient #549,Female,One year,49 mo,$64.9
Patient #550,Female,One year,11 mo,$88.3
Patient #551,Male,Two year,45 mo,$31.9
Patient #552,Female,Two year,17 mo,$92.8
Patient #553,Male,Month-to-month,3 mo,$117.8
Patient #554,Female,Two year,70 mo,$62.4
Patient #555,Female,Month-to-month,32 mo,$66.1
Patient #556,Male,One year,25 mo,$113.7
Patient #557,Male,Month-to-month,54 mo,$81.5
Patient #558,Male,Month-to-month,27 mo,$26.7
Patient #559,Male,One year,7 mo,$44.5
Patient #560,Male,One year,57 mo,$43.4
Patient #561,Male,Month-to-month,18 mo,$70.4
Patient #562,Female,Month-to-month,41 mo,$77.7
Patient #563,Female,Month-to-month,39 mo,$107.6
Patient #564,Male,One year,39 mo,$47.5
Patient #565,Male,Two year,55 mo,$75.6
Patient #566,Male,One year,49 mo,$98.6
Patient #567,Female,Two year,54 mo,$60.8
Patient #568,Female,One year,24 mo,$95.4
Patient #569,Female,Month-to-month,29 mo,$50.1
Patient #570,Male,One year,8 mo,$76.2
Patient #571,Female,Two year,68 mo,$33.4
Patient #572,Male,One year,27 mo,$53.0
Patient #573,Male,One year,48 mo,$29.2
Patient #574,Male,Month-to-month,35 mo,$57.7
Patient #575,Male,Month-to-month,25 mo,$100.5
Patient #576,Male,One year,27 mo,$106.9
Patient #577,Female,One year,2 mo,$41.2
Patient #578,Male,Two year,16 mo,$94.7
Patient #579,Female,Month-to-month,27 mo,$59.7
Patient #580,Male,Two year,42 mo,$97.6
Patient #581,Female,One year,69 mo,$84.9
Patient #582,Female,One year,47 mo,$71.3
Patient #583,Female,One year,13 mo,$100.3
Patient #584,Female,One year,27 mo,$57.1
Patient #585,Female,Month-to-month,29 mo,$94.1
Patient #586,Male,One year,71 mo,$113.5
Patient #587,Female,One year,20 mo,$39.6
Patient #588,Male,One year,32 mo,$69.9
Patient #589,Female,One year,63 mo,$116.7
